Store_Name,Status,Action_Required,Payment_Methods_Needed
AJAWEED,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
ALULA,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
AMWAJ,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
ANDLUS,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
ASEER,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
ASEERGUNAI,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
AZIZMALL,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
BUROTHAIM,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
DAMMOTHAIM,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
DANA,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
DAREEN,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
EHSAA,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
EHSALBUSTA,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
FLAMINGO,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
GRANADA,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
GRMALLHAIL,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
HAFRBATIN,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
HAIFAA,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
HAMDANIIYA,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
HAMRAA,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
HAYAT,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
JUBAIL,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
JURIMALL,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
KADI,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
KHAFOTHAIM,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
KHERAIS,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
MAHMAL,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
MAKKAH,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
MANAR,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
MEDAD,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
NAKHELMALL,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
NAKJPLAZA,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
NOUR,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
OBHURMALL,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
PARKHMT,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
RABWA,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
RASHIDABHA,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
RASHIDJZN,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
RASHIDMAD,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
REDSEA,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
RYDAVENUE,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
RYDGALLER,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
RYDPARK,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
SALAMAH,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
SALAMRYD,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
TABOUK,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
TAHLIA,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
TAWAREN,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
WESTAVENUE,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
YASMEEN,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
ZAHRAN,MISSING,Add bank account entries to Receipt_Methods.csv,"Cash, Mada, Visa, Master, AMEX, GCCNET"
